"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TUBB.10",1.98103030888992e-22,-0.327639332402833,0.195,0.322,3.66272693810658e-18,"13","TUBB"
"SLIRP.10",2.02201318797385e-22,-0.379671766145038,0.172,0.297,3.73850018324486e-18,"13","SLIRP"
"SRGN.10",2.19280922244838e-22,-0.29762408483622,0.211,0.334,4.05428497138481e-18,"13","SRGN"
"DBI.10",3.55994393724665e-22,-0.260753833549584,0.171,0.297,6.58198034557533e-18,"13","DBI"
"NDUFA1.10",3.73675184371404e-22,-0.266477899250382,0.248,0.369,6.90888048384289e-18,"13","NDUFA1"
"NOP10.10",5.30288381047468e-22,-0.315076792322616,0.19,0.313,9.80450187718664e-18,"13","NOP10"
"SEC61B.10",5.81791087914597e-22,-0.325666599022335,0.196,0.316,1.0756735424453e-17,"13","SEC61B"
"S100A8.11",6.76651605114622e-22,-0.737733030778457,0.201,0.326,1.25106115269642e-17,"13","S100A8"
"HLA-DRB1.11",7.07714654002719e-22,-0.396268331094265,0.111,0.231,1.30849362378563e-17,"13","HLA-DRB1"
"SRM.9",1.10493201434477e-21,-0.275893950882303,0.102,0.222,2.04290880132204e-17,"13","SRM"
"ATP5G3.10",1.25978710123854e-21,-0.348832490538636,0.187,0.309,2.32922037147994e-17,"13","ATP5G3"
"MRPL52.10",1.63057591485836e-21,-0.254240122549632,0.124,0.245,3.01477180898162e-17,"13","MRPL52"
"POLR2L.11",3.29472160921885e-21,-0.355822528324569,0.267,0.375,6.09161078328474e-17,"13","POLR2L"
"SHFM1.10",3.52878617795452e-21,-0.285911422629878,0.19,0.311,6.52437276442011e-17,"13","SHFM1"
"PKM.10",4.4683640095413e-21,-0.320666602260139,0.24,0.354,8.26155821724091e-17,"13","PKM"
"TIMM13.9",6.24465443800183e-21,-0.266477212032089,0.123,0.243,1.15457415904216e-16,"13","TIMM13"
"NME1-NME2.10",6.96774206665565e-21,-0.440379538432253,0.171,0.287,1.28826583070396e-16,"13","NME1-NME2"
"SNRPG.10",7.85552691661793e-21,-0.44407332469084,0.273,0.381,1.45240837161349e-16,"13","SNRPG"
"FCER1G.12",7.91460990210276e-21,-0.450449143363528,0.155,0.274,1.46333222479978e-16,"13","FCER1G"
"SNRPD1.10",8.48122634445291e-21,-0.357626810802053,0.161,0.28,1.5680939388259e-16,"13","SNRPD1"
"DDX21.10",8.68602764020164e-21,-0.355781724116777,0.131,0.248,1.60595965039688e-16,"13","DDX21"
"HNRNPM.10",1.66189631107677e-20,-0.329511695305811,0.183,0.299,3.07268008954983e-16,"13","HNRNPM"
